Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2020,7/1/2018,6/30/2019,Montgomery,2151,FY2019
8/27/2020,7/1/2018,6/30/2019,Prince George's,1984.5,FY2019
8/27/2020,7/1/2018,6/30/2019,Queen Anne's,132.6,FY2019
8/27/2020,7/1/2018,6/30/2019,St. Mary's,314.6,FY2019
8/27/2020,7/1/2018,6/30/2019,Somerset,78,FY2019
8/27/2020,7/1/2018,6/30/2019,Talbot,139.4,FY2019
8/27/2020,7/1/2018,6/30/2019,Washington,335.6,FY2019
8/27/2020,7/1/2018,6/30/2019,Wicomico,275.2,FY2019
8/27/2020,7/1/2018,6/30/2019,Worcester,111.1,FY2019
8/27/2025,4/1/2020,6/30/2020,Allegany,160.6,FY2020
8/27/2025,4/1/2020,6/30/2020,Anne Arundel,1428.4,FY2020
8/27/2025,4/1/2020,6/30/2020,Baltimore,1428.2,FY2020
8/27/2025,4/1/2020,6/30/2020,Baltimore City,7236.1,FY2020
8/27/2025,4/1/2020,6/30/2020,Calvert,435.3,FY2020
8/27/2025,4/1/2020,6/30/2020,Caroline,104.2,FY2020
8/27/2025,4/1/2020,6/30/2020,Carroll,386.3,FY2020
8/27/2025,4/1/2020,6/30/2020,Cecil,299.5,FY2020
8/27/2025,4/1/2020,6/30/2020,Charles,364,FY2020
8/27/2025,4/1/2020,6/30/2020,Dorchester,60.1,FY2020
8/27/2025,4/1/2020,6/30/2020,Frederick,411.6,FY2020
8/27/2025,4/1/2020,6/30/2020,Garrett,44.5,FY2020
8/27/2025,4/1/2020,6/30/2020,Harford,597,FY2020
8/27/2025,4/1/2020,6/30/2020,Howard,1325.3,FY2020
8/27/2025,4/1/2020,6/30/2020,Kent,69.3,FY2020
8/27/2025,4/1/2020,6/30/2020,Maryland,636.8,FY2020
8/27/2025,4/1/2020,6/30/2020,Montgomery,2162,FY2020
8/27/2025,4/1/2020,6/30/2020,Prince George's,2003.8,FY2020
8/27/2025,4/1/2020,6/30/2020,Queen Anne's,134.1,FY2020
8/27/2025,4/1/2020,6/30/2020,Somerset,77,FY2020
8/27/2025,4/1/2020,6/30/2020,St. Mary's,318.5,FY2020
8/27/2025,4/1/2020,6/30/2020,Talbot,139.7,FY2020
